EventType,FileID,PacketID,Timestamp,Source,Destination,DelaySec,Path,FileSizeMB,ThroughputMbps
RECEIVED,PDR,1,1766324156.0822434,192.168.10.3,192.168.10.4,0.0164,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,2,1766324156.0840583,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,3,1766324156.0963938,192.168.10.3,192.168.10.4,0.0069,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,4,1766324156.1079464,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,5,1766324156.1202464,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,6,1766324156.1315992,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,7,1766324156.1429837,192.168.10.3,192.168.10.4,0.0066,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,8,1766324156.1545625,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,9,1766324156.1665199,192.168.10.3,192.168.10.4,0.0072,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,10,1766324156.1782467,192.168.10.3,192.168.10.4,0.0069,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,11,1766324156.1894886,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,12,1766324156.2009008,192.168.10.3,192.168.10.4,0.0070,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,13,1766324156.2117674,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,14,1766324156.2228646,192.168.10.3,192.168.10.4,0.0069,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,15,1766324156.2342396,192.168.10.3,192.168.10.4,0.0071,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,16,1766324156.2449272,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,17,1766324156.256157,192.168.10.3,192.168.10.4,0.0069,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,18,1766324156.2669594,192.168.10.3,192.168.10.4,0.0066,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,19,1766324156.2780688,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,20,1766324156.2891264,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,21,1766324156.300064,192.168.10.3,192.168.10.4,0.0066,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,22,1766324156.3112857,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,23,1766324156.3224676,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,24,1766324156.333272,192.168.10.3,192.168.10.4,0.0065,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,25,1766324156.3454587,192.168.10.3,192.168.10.4,0.0076,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,26,1766324156.3557396,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,27,1766324156.3665652,192.168.10.3,192.168.10.4,0.0066,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,28,1766324156.3777363,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,29,1766324156.388821,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,30,1766324156.3999717,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,31,1766324156.410948,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,32,1766324156.4220984,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,33,1766324156.4335413,192.168.10.3,192.168.10.4,0.0072,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,34,1766324156.4450393,192.168.10.3,192.168.10.4,0.0077,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,35,1766324156.4552467,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,36,1766324156.4669354,192.168.10.3,192.168.10.4,0.0073,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,37,1766324156.4775827,192.168.10.3,192.168.10.4,0.0069,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,38,1766324156.4883873,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,39,1766324156.499638,192.168.10.3,192.168.10.4,0.0069,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,40,1766324156.5107198,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,41,1766324156.5215735,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,42,1766324156.5324893,192.168.10.3,192.168.10.4,0.0066,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,43,1766324156.5441587,192.168.10.3,192.168.10.4,0.0073,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,44,1766324156.558792,192.168.10.3,192.168.10.4,0.0107,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,45,1766324156.565811,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,46,1766324156.5770936,192.168.10.3,192.168.10.4,0.0070,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,47,1766324156.5880575,192.168.10.3,192.168.10.4,0.0069,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,48,1766324156.5992322,192.168.10.3,192.168.10.4,0.0069,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,49,1766324156.610187,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,50,1766324156.6211536,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,51,1766324156.632164,192.168.10.3,192.168.10.4,0.0067,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,52,1766324156.6433408,192.168.10.3,192.168.10.4,0.0069,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,53,1766324156.6607645,192.168.10.3,192.168.10.4,0.0131,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,54,1766324156.6654382,192.168.10.3,192.168.10.4,0.0068,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,55,1766324156.6783106,192.168.10.3,192.168.10.4,0.0085,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,56,1766324156.6879778,192.168.10.3,192.168.10.4,0.0070,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,57,1766324156.699141,192.168.10.3,192.168.10.4,0.0071,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,58,1766324156.7103968,192.168.10.3,192.168.10.4,0.0072,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,59,1766324156.7212486,192.168.10.3,192.168.10.4,0.0071,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,60,1766324156.7323456,192.168.10.3,192.168.10.4,0.0072,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,61,1766324156.74461,192.168.10.3,192.168.10.4,0.0083,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,62,1766324156.7548246,192.168.10.3,192.168.10.4,0.0075,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,63,1766324156.7654607,192.168.10.3,192.168.10.4,0.0071,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,64,1766324156.7764618,192.168.10.3,192.168.10.4,0.0071,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,65,1766324156.7881923,192.168.10.3,192.168.10.4,0.0078,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,66,1766324156.7981777,192.168.10.3,192.168.10.4,0.0066,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,67,1766324156.8091967,192.168.10.3,192.168.10.4,0.0065,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,68,1766324156.8199844,192.168.10.3,192.168.10.4,0.0063,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,69,1766324156.8311093,192.168.10.3,192.168.10.4,0.0064,192.168.10.3->192.168.10.2->192.168.10.4,,
RECEIVED,PDR,70,1766324156.8424628,192.168.10.3,192.168.10.4,0.0066,192.168.10.3->192.168.10.2->192.168.10.4,,
